team,opponent,date,hour,category,possession,number of goals,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,tournament
Netherlands,Senegal,2022-11-21,17 : 00,Group A,45%,2,9,0,2,0,1,3,5,5,4,11,2,2,7,20,506,117,191,198,14,162,96,22,10,1,0,13,1,438,374,25,8,6,7,14,0,15,0,73,251,WC 2022
Wales,United States,2022-11-21,20 : 00,Group B,39%,1,7,1,1,0,0,3,3,5,2,7,2,5,2,7,436,100,172,164,9,174,103,17,8,2,0,10,1,409,321,15,6,8,3,15,1,7,0,72,292,WC 2022
Saudi Arabia,Argentina,2022-11-22,11 : 00,Group C,24%,2,3,1,2,0,1,2,0,3,0,3,2,3,3,8,268,69,131,68,9,137,68,15,7,6,0,21,1,267,190,9,2,7,2,16,0,14,0,80,361,WC 2022
Tunisia,Denmark,2022-11-22,14 : 00,Group D,33%,0,11,0,0,0,0,1,7,6,5,9,2,2,3,6,477,89,204,184,7,174,85,17,6,1,0,10,1,387,302,13,3,1,9,10,0,11,0,73,287,WC 2022
Poland,Mexico,2022-11-22,17 : 00,Group C,31%,0,8,0,0,0,0,1,4,7,1,8,6,6,4,13,296,72,101,123,3,150,82,12,2,1,0,16,0,322,241,10,2,1,5,16,0,15,0,70,290,WC 2022
Australia,France,2022-11-22,20 : 00,Group D,35%,1,4,4,1,0,1,1,3,2,2,11,2,5,1,9,521,95,208,218,7,133,84,15,7,3,0,11,0,466,399,9,2,5,1,5,0,22,0,56,316,WC 2022
Croatia,Morocco,2022-11-23,11 : 00,Group F,57%,0,6,0,0,0,0,2,2,4,2,12,3,6,5,7,626,99,197,330,9,169,116,18,9,0,0,11,1,667,592,19,4,7,5,17,0,8,0,58,217,WC 2022
Japan,Germany,2022-11-23,14 : 00,Group E,22%,2,10,1,2,0,1,3,6,10,0,5,0,3,3,11,346,102,146,98,10,113,70,17,11,0,0,14,4,261,207,16,3,2,6,10,0,26,0,87,487,WC 2022
Costa Rica,Spain,2022-11-23,17 : 00,Group E,17%,0,0,7,0,0,0,0,0,0,0,5,0,1,0,1,250,52,104,94,1,119,58,11,1,2,0,12,7,231,170,5,0,1,0,11,0,17,0,76,585,WC 2022
Canada,Belgium,2022-11-23,20 : 00,Group F,43%,0,21,1,0,0,0,4,12,16,5,17,6,8,5,20,582,140,279,163,15,176,123,23,13,2,0,14,1,448,382,19,6,6,4,10,0,9,0,47,320,WC 2022
Cameroon,Switzerland,2022-11-24,11 : 00,Group G,46%,0,7,1,0,0,0,3,2,6,1,9,12,3,5,18,561,109,248,204,5,182,103,16,4,1,0,10,2,500,424,20,4,8,5,14,0,8,0,79,316,WC 2022
South Korea,Uruguay,2022-11-24,14 : 00,Group H,38%,0,6,0,0,0,0,0,5,1,5,15,0,4,4,19,551,136,228,187,8,185,96,17,8,1,0,10,0,419,340,19,3,9,3,8,0,10,0,54,231,WC 2022
Ghana,Portugal,2022-11-24,17 : 00,Group H,35%,2,8,3,2,0,2,3,5,2,6,7,9,6,3,3,459,87,187,185,5,150,88,12,4,4,0,19,1,394,326,12,3,2,3,15,0,11,0,82,326,WC 2022
Serbia,Brazil,2022-11-24,20 : 00,Group G,34%,0,4,2,0,0,0,0,3,1,3,10,3,4,3,7,414,67,185,162,4,140,91,15,6,3,0,12,0,403,341,13,3,6,4,8,0,24,0,71,338,WC 2022
Iran,Wales,2022-11-25,11 : 00,Group B,33%,2,21,0,1,1,1,6,6,7,14,7,3,7,4,7,343,109,149,85,9,185,92,24,10,2,0,10,2,295,202,26,4,5,7,11,0,9,0,84,276,WC 2022
Senegal,Qatar,2022-11-25,14 : 00,Group A,48%,3,12,1,3,0,2,4,6,10,2,26,4,6,4,18,553,136,190,227,12,184,113,19,9,3,0,12,3,511,445,20,6,9,7,11,0,11,0,67,232,WC 2022
Ecuador,Netherlands,2022-11-25,17 : 00,Group A,39%,1,13,1,1,0,0,5,3,8,5,10,5,2,5,4,541,86,276,179,12,155,84,22,10,1,0,12,4,425,345,22,4,2,5,16,0,2,0,52,279,WC 2022
United States,England,2022-11-25,20 : 00,Group B,40%,0,10,0,0,0,0,2,7,6,4,12,0,1,6,8,539,129,238,172,6,143,88,15,5,0,0,15,0,427,368,16,2,2,7,10,0,8,0,61,350,WC 2022
Australia,Tunisia,2022-11-26,11 : 00,Group D,31%,1,8,0,1,0,1,2,3,5,3,11,3,4,7,19,342,108,120,114,8,171,91,19,10,0,0,15,0,334,239,23,4,2,2,19,0,13,0,88,273,WC 2022
Saudi Arabia,Poland,2022-11-26,14 : 00,Group C,57%,0,16,2,0,0,0,5,9,9,7,21,6,5,7,15,661,156,264,241,22,205,153,27,19,2,0,15,0,560,494,24,4,13,5,17,0,9,0,53,173,WC 2022
Denmark,France,2022-11-26,17 : 00,Group D,44%,1,10,2,1,0,1,2,6,5,5,13,5,3,4,25,615,171,268,176,17,173,132,23,15,2,0,9,1,537,473,18,4,14,4,5,0,21,0,61,282,WC 2022
Mexico,Argentina,2022-11-26,20 : 00,Group C,36%,0,4,2,0,0,0,1,2,1,3,8,1,1,2,11,373,78,151,144,5,127,66,13,5,4,0,19,4,356,287,17,4,2,2,17,0,5,0,79,327,WC 2022
Costa Rica,Japan,2022-11-27,11 : 00,Group E,39%,1,4,0,1,0,1,1,1,1,3,8,0,3,1,4,429,77,177,175,1,154,85,4,0,3,0,9,2,444,371,5,0,7,0,22,0,14,0,66,294,WC 2022
Morocco,Belgium,2022-11-27,14 : 00,Group F,32%,2,11,0,2,0,2,4,6,6,5,10,3,2,1,11,441,109,173,159,7,125,89,11,8,1,0,14,3,317,275,9,4,10,1,13,0,10,0,78,360,WC 2022
