team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Armenia,Artur Miranyan,0,0,,1
Armenia,Edgar Sevikyan,0,0,,1
Armenia,Gor Manvelyan,0,0,,1
Armenia,Vahan Bichakhchyan,0,0,,1
Aruba,Isaï Marselia,0,0,,1
Aruba,Walter Bennett,0,0,,1
Australia,Adam Taggart,0,0,,1
Australia,Ajdin Hrustic,0,0,,1
Australia,Craig Goodwin,0,0,,1
Australia,Nestory Irankunda,0,0,,1
Austria,Gernot Trauner,0,0,,1
Austria,Matthias Seidl,0,0,,1
Azerbaijan,Renat Dadashov,0,0,,1
Bahamas,Wood Julmis,0,0,,1
Belarus,Sergei Politevich,0,0,,1
Belarus,Valery Gromyko,0,0,,1
Belarus,Yury Kavalyow,0,0,,1
Belgium,Loïs Openda,0,0,,1
Belize,Carlos Bernárdez,0,0,,1
Bermuda,Sachiel Ming,0,0,,1
Bolivia,Bruno Miranda,0,0,,1
Bolivia,Ervin Vaca,0,0,,1
Bolivia,Ramiro Vaca,0,0,,1
Bosnia and Herzegovina,Armin Gigović,0,0,,1
Bosnia and Herzegovina,Haris Hajradinović,0,0,,1
Botswana,Kabelo Seakanyeng,0,0,,1
Botswana,Mosha Gaolaolwe,0,0,,1
Botswana,Mothusi Johnson,0,0,,1
Botswana,Thabang Sesinyi,0,0,,1
Brazil,Andreas Pereira,0,0,,1
Brazil,Gerson,0,0,,1
Brazil,Igor Jesus,0,0,,1
Brazil,Matheus Cunha,0,0,,1
Brazil,Rodrygo,0,0,,1
Brazil,Sávio,0,0,,1
Bulgaria,Andrian Kraev,0,0,,1
Bulgaria,Kiril Despodov,0,0,,1
Bulgaria,Marin Petkov,0,0,,1
Bulgaria,Valentin Antov,0,0,,1
Bulgaria,Vasil Panayotov,0,0,,1
Burkina Faso,Bertrand Traoré,0,0,,1
Burundi,Christophe Nduwarugira,0,0,,1
Burundi,Jean-Claude Girumugisha,0,0,,1
Cameroon,Michael Ngadeu-Ngadjui,0,0,,1
Cameroon,Nouhou Tolo,0,0,,1
Canada,Ismaël Koné,0,0,,1
Canada,Jacob Shaffelburg,0,0,,1
Cape Verde,Jamiro Monteiro,0,0,,1
Cape Verde,Yannick Semedo,0,0,,1
Cayman Islands,Joshwa Campbell,0,0,,1
Central African Republic,Hugo Gambor,0,0,,1
China PR,Behram Abduweli,0,0,,1
China PR,Lin Liangming,0,0,,1
China PR,Xie Wenneng,0,0,,1
Colombia,Andrés Gómez,0,0,,1
Colombia,Luis Sinisterra,0,0,,1
Colombia,Miguel Borja,0,0,,1
Colombia,Richard Ríos,0,0,,1
Colombia,Yerson Mosquera,0,0,,1
Cook Islands,Taci Kumsuz,0,0,,1
Costa Rica,Andy Rojas,0,0,,1
Costa Rica,Gerald Taylor,0,0,,1
Croatia,Borna Sosa,0,0,,1
Croatia,Igor Matanović,0,0,,1
Croatia,Martin Baturina,0,0,,1
Croatia,Petar Sučić,0,0,,1
Cuba,Maikel Reyes,0,0,,1
Curaçao,Xander Severina,0,0,,1
Cyprus,Marinos Tzionis,0,0,,1
Czechia,Jan Kliment,0,0,,1
Czechia,Lukáš Kalvach,0,0,,1
Czechia,Lukáš Provod,0,0,,1
Côte d'Ivoire,Seko Fofana,0,0,,1
Côte d'Ivoire,Sébastien Haller,0,0,,1
DR Congo,Charles Pickel,0,0,,1
Denmark,Albert Grønbæk,0,0,,1
Denmark,Morten Hjulmand,0,0,,1
Denmark,Pierre-Emile Højbjerg,0,0,,1
Denmark,Rasmus Kristensen,0,0,,1
Denmark,Yussuf Poulsen,0,0,,1
Dominica,Javid George,0,0,,1
Ecuador,Jeremy Sarmiento,0,0,,1
Ecuador,Kendry Páez,0,0,,1
Ecuador,Kevin Rodríguez,0,0,,1
El Salvador,Jairo Henríquez,0,0,,1
El Salvador,Nelson Bonilla,0,0,,1
El Salvador,Rafael Tejada,0,0,,1
England,Cole Palmer,0,0,,1
England,Conor Gallagher,0,0,,1
England,Curtis Jones,0,0,,1
England,Jarrod Bowen,0,0,,1
England,Myles Lewis-Skelly,0,0,,1
England,Reece James,0,0,,1
England,Taylor Harwood-Bellis,0,0,,1
England,Trent Alexander-Arnold,0,0,,1
Equatorial Guinea,Saúl Coco,0,0,,1
Estonia,Alex Matthias Tamm,0,0,,1
Estonia,Danil Kuraksin,0,0,,1
Estonia,Edgar Tur,0,0,,1
Estonia,Henri Anier,0,0,,1
Estonia,Ioan Yakovlev,0,0,,1
Estonia,Maksim Paskotši,0,0,,1
Estonia,Mark Anders Lepik,0,0,,1
Estonia,Rasmus Peetson,0,0,,1
Estonia,Rocco Robert Shein,0,0,,1
Estonia,Vlasiy Sinyavskiy,0,0,,1
Eswatini,Andy Junior Magagula,0,0,,1
Eswatini,Mayibongwe Mabuza,0,0,,1
Ethiopia,Minyelu Wondimu,0,0,,1
Faroe Islands,Gunnar Vatnhamar,0,0,,1
Faroe Islands,Jann Benjaminsen,0,0,,1
Faroe Islands,Jóannes Bjartalíð,0,0,,1
Faroe Islands,Petur Knudsen,0,0,,1
Fiji,Filipe Baravilala,0,0,,1
Fiji,Merrill Nand,0,0,,1
Fiji,Sitiveni Cavuilagi,0,0,,1
Finland,Arttu Hoskonen,0,0,,1
Finland,Kaan Kairinen,0,0,,1
Finland,Oliver Antman,0,0,,1
France,Eduardo Camavinga,0,0,,1
France,Mattéo Guendouzi,0,0,,1
Georgia,Otar Kiteishvili,0,0,,1
Germany,Aleksandar Pavlović,0,0,,1
Germany,Emre Can,0,0,,1
Germany,Felix Nmecha,0,0,,1
Germany,Jamie Leweling,0,0,,1
Germany,Leon Goretzka,0,0,,1
Germany,İlkay Gündoğan,0,0,,1
Ghana,Abdul Fatawu,0,0,,1
Ghana,Antoine Semenyo,0,0,,1
Ghana,Iñaki Williams,0,0,,1
Gibraltar,Dan Bent,0,0,,1
Gibraltar,Ethan Britto,0,0,,1
Greece,Giannis Konstantelias,0,0,,1
Greece,Petros Mantalos,0,0,,1
Guatemala,Allen Yanes,0,0,,1
Guatemala,José Carlos Martínez,0,0,,1
Guatemala,José Morales,0,0,,1
Guatemala,Óscar Castellanos,0,0,,1
Guinea,Aguibou Camara,0,0,,1
Guinea,Morlaye Sylla,0,0,,1
Guinea-Bissau,Tamble Monteiro,0,0,,1
Guinea-Bissau,Zidane Banjaqui,0,0,,1
Guyana,Liam Gordon,0,0,,1
Haiti,Bryan Labissiere,0,0,,1
Haiti,Duke Lacroix,0,0,,1
Haiti,Jean-Kévin Duverne,0,0,,1
Honduras,Andy Najar,0,0,,1
Honduras,Bryan Róchez,0,0,,1
Honduras,David Ruiz,0,0,,1
Honduras,Kervin Arriaga,0,0,,1
Honduras,Luis Vega,0,0,,1
Honduras,Rubilio Castillo,0,0,,1
Hong Kong,Anthony Pinto,0,0,,1
Hong Kong,Ma Hei Wai,0,0,,1
Hungary,András Schäfer,0,0,,1
Hungary,Kevin Csoboth,0,0,,1
Iceland,Jón Dagur Þorsteinsson,0,0,,1
Iceland,Logi Tómasson,0,0,,1
India,Lallianzuala Chhangte,0,0,,1
Indonesia,Rafael Struick,0,0,,1
Indonesia,Ragnar Oratmangoen,0,0,,1
Indonesia,Rizky Ridho,0,0,,1
Indonesia,Sandy Walsh,0,0,,1
Iran,Saleh Hardani,0,0,,1
Iraq,Akam Hashim,0,0,,1
Iraq,Hussein Ali,0,0,,1
Iraq,Youssef Amyn,0,0,,1
Israel,Eli Dasa,0,0,,1
Israel,Omri Gandelman,0,0,,1
Israel,Yarden Shua,0,0,,1
Italy,Federico Dimarco,0,0,,1
Italy,Mattia Zaccagni,0,0,,1
Italy,Nicolò Barella,0,0,,1
Jamaica,Kaheim Dixon,0,0,,1
Jamaica,Michail Antonio,0,0,,1
Japan,Daizen Maeda,0,0,,1
Japan,Junya Itō,0,0,,1
Japan,Kaoru Mitoma,0,0,,1
Japan,Ko Itakura,0,0,,1
Japan,Wataru Endo,0,0,,1
Japan,Yuki Soma,0,0,,1
Japan,Yukinari Sugawara,0,0,,1
Jordan,Abdallah Nasib,0,0,,1
Jordan,Ibrahim Sadeh,0,0,,1
Jordan,Yazan Al-Arab,0,0,,1
Kazakhstan,Aleksandr Marochkin,0,0,,1
Kazakhstan,Askhat Tagybergen,0,0,,1
Kazakhstan,Maksim Samorodov,0,0,,1
Kenya,Duke Abuya,0,0,,1
Kenya,Mohammed Bajaber,0,0,,1
Kenya,William Wilson,0,0,,1
Kosovo,Albion Rrahmani,0,0,,1
Kosovo,Amir Rrahmani,0,0,,1
Kosovo,Edon Zhegrova,0,0,,1
Kosovo,Emir Sahiti,0,0,,1
Kosovo,Muharrem Jashari,0,0,,1
Kuwait,Eid Al Rashidi,0,0,,1
Kyrgyzstan,Aleksandr Mishchenko,0,0,,1
Kyrgyzstan,Eldiyar Zarypbekov,0,0,,1
Kyrgyzstan,Khristiyan Brauzman,0,0,,1
Kyrgyzstan,Odilzhon Abdurakhmanov,0,0,,1
Kyrgyzstan,Valery Kichin,0,0,,1
Latvia,Andrejs Cigaņiks,0,0,,1
Latvia,Renārs Varslavāns,0,0,,1
Latvia,Roberts Uldriķis,0,0,,1
Lebanon,Nader Matar,0,0,,1
Lesotho,Jane Thabantso,0,0,,1
Lesotho,Lehlohonolo Fothoane,0,0,,1
Lesotho,Rethabile Rasethuntša,0,0,,1
Liberia,Jimmy Farkarlun,0,0,,1
Liberia,Sheikh Sesay,0,0,,1
Liberia,Terry Sackor,0,0,,1
Libya,Ahmed Krawa'a,0,0,,1
Libya,Faisal Al Badri,0,0,,1
Libya,Muaid Ellafi,0,0,,1
Liechtenstein,Aron Sele,0,0,,1
Liechtenstein,Ferhat Saglam,0,0,,1
Liechtenstein,Nicolas Hasler,0,0,,1
Lithuania,Giedrius Matulevicius,0,0,,1
Lithuania,Paulius Golubickas,0,0,,1
Luxembourg,Seid Korać,0,0,,1
Madagascar,Lalaïna Rafanomezantsoa,0,0,,1
Malawi,Chifundo Mphasi,0,0,,1
Malawi,Lanjesi Nkhoma,0,0,,1
Malaysia,Adib Raop,0,0,,1
Malaysia,Paulo Josué,0,0,,1
Malaysia,Safawi Rasid,0,0,,1
Malta,Ryan Camenzuli,0,0,,1
Mauritania,Abdallahi Mahmoud,0,0,,1
Mauritania,Aboubakary Koïta,0,0,,1
Mauritius,Emmanuel Vincent,0,0,,1
Mauritius,Kévin Bru,0,0,,1
Mauritius,Mike Gaspard,0,0,,1
Mauritius,Yannick Aristide,0,0,,1
Mexico,Gerardo Arteaga,0,0,,1
Moldova,Artur Ioniță,0,0,,1
Moldova,Maxim Cojocaru,0,0,,1
Moldova,Virgiliu Postolachi,0,0,,1
Montenegro,Adam Marušić,0,0,,1
Montenegro,Driton Camaj,0,0,,1
Montenegro,Edvin Kuč,0,0,,1
Montenegro,Marko Tući,0,0,,1
Montenegro,Stevan Jovetić,0,0,,1
Montserrat,Brandon Barzey,0,0,,1
Montserrat,Kaleem Simon,0,0,,1
Morocco,Bilal El Khannouss,0,0,,1
Morocco,Chadi Riad,0,0,,1
Morocco,Eliesse Ben Seghir,0,0,,1
Morocco,Hakim Ziyech,0,0,,1
Morocco,Nayef Aguerd,0,0,,1
Morocco,Soufiane Rahimi,0,0,,1
Mozambique,Alfons Amade,0,0,,1
Myanmar,Wai Lin Aung,0,0,,1
Namibia,Prins Tjiueza,0,0,,1
Namibia,Tjipe Karuuombe,0,0,,1
Nepal,Gillespye Jung Karki,0,0,,1
Nepal,Sanjeeb Bista,0,0,,1
Netherlands,Brian Brobbey,0,0,,1
Netherlands,Ian Maatsen,0,0,,1
Netherlands,Joshua Zirkzee,0,0,,1
Netherlands,Stefan de Vrij,0,0,,1
Netherlands,Teun Koopmeiners,0,0,,1
New Caledonia,Germain Haewegene,0,0,,1
New Caledonia,Gérard Waia,0,0,,1
New Caledonia,Jean-Jacques Katrawa,0,0,,1
New Caledonia,Lues Waya,0,0,,1
New Zealand,Ben Old,0,0,,1
New Zealand,Cameron Howieson,0,0,,1
New Zealand,Finn Surman,0,0,,1
New Zealand,Francis de Vries,0,0,,1
New Zealand,Jesse Randall,0,0,,1
New Zealand,Marko Stamenić,0,0,,1
New Zealand,Matthew Garbett,0,0,,1
New Zealand,Michael Boxall,0,0,,1
New Zealand,Tim Payne,0,0,,1
Nicaragua,Harold Medina,0,0,,1
Nicaragua,Jacob Montes,0,0,,1
Nicaragua,Juan Barrera,0,0,,1
Nigeria,Fisayo Dele-Bashiru,0,0,,1
North Korea,Kang Kuk-chol,0,0,,1
North Macedonia,Elif Elmas,0,0,,1
North Macedonia,Isnik Alimi,0,0,,1
North Macedonia,Jani Atanasov,0,0,,1
North Macedonia,Nikola Serafimov,0,0,,1
North Macedonia,Visar Musliu,0,0,,1
Northern Ireland,Conor Bradley,0,0,,1
Northern Ireland,Dion Charles,0,0,,1
Northern Ireland,Josh Magennis,0,0,,1
Northern Ireland,Paddy McNair,0,0,,1
Norway,Aron Dønnum,0,0,,1
Norway,David Møller Wolfe,0,0,,1
Norway,Jens Petter Hauge,0,0,,1
Norway,Julian Ryerson,0,0,,1
Norway,Kristoffer Ajer,0,0,,1
Oman,Abdullah Fawaz,0,0,,1
Oman,Ali Al-Busaidi,0,0,,1
Palestine,Ameed Mahajna,0,0,,1
Panama,Jovani Welch,0,0,,1
Panama,Michael Amir Murillo,0,0,,1
Papua New Guinea,Joseph Joe,0,0,,1
Papua New Guinea,Pala Paul,0,0,,1
Papua New Guinea,Raymond Gunemba,0,0,,1
Paraguay,Diego Gómez,0,0,,1
Paraguay,Júnior Alonso,0,0,,1
Paraguay,Miguel Almirón,0,0,,1
Paraguay,Ramón Sosa,0,0,,1
Peru,Alexander Callens,0,0,,1
Peru,Andy Polo,0,0,,1
Peru,Edison Flores,0,0,,1
Peru,Miguel Araujo,0,0,,1
Peru,Paolo Guerrero,0,0,,1
Philippines,Kevin Ingreso,0,0,,1
Philippines,Patrick Reichelt,0,0,,1
Poland,Adam Buksa,0,0,,1
Poland,Dominik Marczuk,0,0,,1
Poland,Kamil Piątkowski,0,0,,1
Poland,Krzysztof Piątek,0,0,,1
Portugal,Diogo Dalot,0,0,,1
Portugal,Pedro Neto,0,0,,1
Portugal,Rafael Leão,0,0,,1
Puerto Rico,Darren Ríos,0,0,,1
Puerto Rico,Nicolás Cardona,0,0,,1
Puerto Rico,Roberto Ydrach,0,0,,1
Qatar,Ahmed Al Ganehi,0,0,,1
Qatar,Ahmed Alaaeldin,0,0,,1
Qatar,Yousef Aymen,0,0,,1
Republic of Ireland,Finn Azaz,0,0,,1
Republic of Ireland,Liam Scales,0,0,,1
Republic of Ireland,Matt Doherty,0,0,,1
Republic of Ireland,Robbie Brady,0,0,,1
Romania,Alexandru Mitriță,0,0,,1
Romania,Denis Alibec,0,0,,1
Romania,Florinel Coman,0,0,,1
Romania,Mihai Popescu,0,0,,1
Romania,Nicolae Stanciu,0,0,,1
Romania,Radu Drăgușin,0,0,,1
Romania,Valentin Mihăilă,0,0,,1
Saint Kitts and Nevis,Ethan Bristow,0,0,,1
Saint Lucia,Peter Pearson,0,0,,1
Saint Lucia,Ridel Stanislas,0,0,,1
Samoa,Dilo Tumua,0,0,,1
Samoa,Jarvis Vaai,0,0,,1
Samoa,Jefferson Faamatau,0,0,,1
Samoa,Nathan Viliamu,0,0,,1
Samoa,Pharrell Trainor,0,0,,1
San Marino,Alessandro Golinucci,0,0,,1
San Marino,Lorenzo Lazzari,0,0,,1
San Marino,Nicko Sensoli,0,0,,1
San Marino,Samuele Zannoni,0,0,,1
Saudi Arabia,Ali Lajami,0,0,,1
Saudi Arabia,Salem Al-Dawsari,0,0,,1
Scotland,Andy Robertson,0,0,,1
Scotland,Billy Gilmour,0,0,,1
Serbia,Aleksa Terzić,0,0,,1
Serbia,Lazar Samardžić,0,0,,1
Serbia,Luka Jović,0,0,,1
Serbia,Nemanja Maksimović,0,0,,1
Seychelles,Lorenzo Hoareau,0,0,,1
Seychelles,Ryan Henriette,0,0,,1
Sierra Leone,Amadou Bakayoko,0,0,,1
Sierra Leone,Curtis Davies,0,0,,1
Sierra Leone,Ibrahim Turay,0,0,,1
Sierra Leone,Musa Noah Kamara,0,0,,1
Sierra Leone,Mustapha Bundu,0,0,,1
Singapore,Ikhsan Fandi,0,0,,1
Slovakia,Dávid Ďuriš,0,0,,1
Slovakia,Tomáš Suslov,0,0,,1
Slovenia,Erik Janža,0,0,,1
Slovenia,Jan Mlakar,0,0,,1
Slovenia,Žan Karničnik,0,0,,1
Solomon Islands,Javin Alick,0,0,,1
Solomon Islands,Junior David,0,0,,1
Solomon Islands,Micah Lea'alafa,0,0,,1
Solomon Islands,Raphael Lea'i,0,0,,1
Somalia,Ismael Shirwa,0,0,,1
Somalia,Sak Hassan,0,0,,1
South Africa,Iqraam Rayners,0,0,,1
South Africa,Jayden Adams,0,0,,1
South Africa,Themba Zwane,0,0,,1
South Sudan,Omot Sebit,0,0,,1
Spain,Aymeric Laporte,0,0,,1
Spain,Ayoze Pérez,0,0,,1
Spain,Bryan Gil,0,0,,1
Spain,Bryan Zaragoza,0,0,,1
Spain,Dani Carvajal,0,0,,1
Spain,Joselu,0,0,,1
Spain,Rodri,0,0,,1
Spain,Yeremy Pino,0,0,,1
Spain,Álex Baena,0,0,,1
Sudan,Mohamed Abdelrahman,0,0,,1
Sudan,Mohamed Eisa,0,0,,1
Sudan,Seif Teiri,0,0,,1
Sudan,Walieldin Khedr,0,0,,1
Sudan,Yaser Muzmel,0,0,,1
Suriname,Jeredy Hilterman,0,0,,1
Suriname,Sheraldo Becker,0,0,,1
Sweden,Ken Sema,0,0,,1
Switzerland,Andi Zeqiri,0,0,,1
Switzerland,Joël Monteiro,0,0,,1
Switzerland,Kwadwo Duah,0,0,,1
Switzerland,Michel Aebischer,0,0,,1
Switzerland,Ruben Vargas,0,0,,1
Switzerland,Xherdan Shaqiri,0,0,,1
São Tomé and Príncipe,Denilson Silva,0,0,,1
São Tomé and Príncipe,Dola,0,0,,1
Tahiti,Eddy Kaspard,0,0,,1
Taiwan,Yu Yao-hsing,0,0,,1
Tajikistan,Manuchekhr Safarov,0,0,,1
Tajikistan,Shervoni Mabatshoev,0,0,,1
Tajikistan,Vahdat Hanonov,0,0,,1
Tanzania,Junior Waziri,0,0,,1
Thailand,Jaroensak Wonggorn,0,0,,1
Thailand,Poramet Arjvirai,0,0,,1
Thailand,Supachok Sarachat,0,0,,1
Thailand,Suphanat Mueanta,0,0,,1
Togo,Khaled Narey,0,0,,1
Togo,Kévin Denkey,0,0,,1
Togo,Thibault Klidjé,0,0,,1
Tonga,Christopher Kefu,0,0,,1
Tonga,Hemaloto Polovili,0,0,,1
Tonga,Ulafala Sonasi,0,0,,1
Tonga,Viliami Tikoipau,0,0,,1
Trinidad and Tobago,Alvin Jones,0,0,,1
Trinidad and Tobago,Ryan Telfer,0,0,,1
Tunisia,Seifeddine Jaziri,0,0,,1
Turkmenistan,Şanazar Tirkişow,0,0,,1
Türkiye,Abdülkerim Bardakcı,0,0,,1
Türkiye,Cenk Tosun,0,0,,1
Türkiye,Orkun Kökçü,0,0,,1
Türkiye,Samet Akaydin,0,0,,1
Uganda,Travis Mutyaba,0,0,,1
Ukraine,Artem Dovbyk,0,0,,1
Ukraine,Illya Zabarnyi,0,0,,1
Ukraine,Mykhailo Mudryk,0,0,,1
Ukraine,Mykola Shaparenko,0,0,,1
Ukraine,Oleksandr Zinchenko,0,0,,1
Ukraine,Yukhym Konoplya,0,0,,1
United Arab Emirates,Hazem Mohammad,0,0,,1
United Arab Emirates,Khaled Ibrahim,0,0,,1
United States,Christian Pulisic,0,0,,1
Uruguay,Facundo Pellistri,0,0,,1
Uruguay,Luis Suárez,0,0,,1
Uruguay,Manuel Ugarte,0,0,,1
Uruguay,Mathías Olivera,0,0,,1
Uruguay,Matías Viña,0,0,,1
Uzbekistan,Jaloliddin Masharipov,0,0,,1
Uzbekistan,Khojiakbar Alijonov,0,0,,1
Uzbekistan,Khojimat Erkinov,0,0,,1
Uzbekistan,Otabek Shukurov,0,0,,1
Uzbekistan,Sherzod Nasrullaev,0,0,,1
Vanuatu,Bong Kalo,0,0,,1
Vanuatu,Jason Thomas,0,0,,1
Vanuatu,Johnathan Spokeyjack,0,0,,1
Vanuatu,Jordy Tasip,0,0,,1
Vanuatu,Kensi Tangis,0,0,,1
Vanuatu,Mitch Cooper,0,0,,1
Venezuela,Eric Ramírez,0,0,,1
Venezuela,Jefferson Savarino,0,0,,1
Venezuela,Jon Aramburu,0,0,,1
Venezuela,Rubén Ramírez,0,0,,1
Wales,Ben Davies,0,0,,1
Wales,Rabbi Matondo,0,0,,1
Yemen,Mohammed Al-Dahi,0,0,,1
Yemen,Nasser Al-Gahwashi,0,0,,1
Zambia,Edward Chilufya,0,0,,1
Zimbabwe,Marshall Munetsi,0,0,,1
