match_id,home_team,away_team,lambda_home,lambda_away,mode_home_score,mode_away_score,exp_home_score,exp_away_score,p_home_win,p_draw,p_away_win
38,Belgium,Iran,1.379716949030731,0.9736184609206127,1,1,1.3796038673305113,0.9736110964430219,0.457446393456697,0.28229264366448914,0.2602609628788137
39,Uruguay,Cape Verde,0.9004022282867195,0.5203196711613468,0,0,0.9003983075379479,0.5203196299573141,0.4241486004244246,0.3772652686849086,0.19858613089066662
40,New Zealand,Egypt,1.0253524695698006,1.1846421922721053,1,1,1.0253413257574269,1.1846073358679645,0.31031003225547316,0.299442921749298,0.390247045995229
41,Argentina,Austria,1.2381897809973992,0.681028745350107,1,0,1.23814059651225,0.6810283498000418,0.4918516002706221,0.30850754351290627,0.1996408562164717
42,France,Iraq,1.3742554040731803,0.4469137110770256,1,0,1.3741456903020357,0.4469136997946532,0.5988412340369852,0.2851345036407701,0.11602426232224453
43,Norway,Senegal,1.2933302406727794,1.144981964431103,1,1,1.2932613465789558,1.1449552706931838,0.39423026230562597,0.28294074772532024,0.32282898996905374
44,Jordan,Algeria,1.089711386840021,1.4756454996279948,1,1,1.089693313924721,1.4754573671653959,0.2748992453736292,0.2694795995894331,0.45562115503693756
45,Portugal,Uzbekistan,1.7008499649128095,0.6598648664427124,1,0,1.7003106592059156,0.6598645623549996,0.621242751798238,0.24200306432231372,0.1367541838794483
46,England,Ghana,1.6303195696278203,0.5833074059788972,1,0,1.629924277582345,0.5833072977782873,0.6255057272655976,0.24864666730460439,0.12584760542979806
47,Panama,Croatia,0.8582049293676887,1.390638608384361,0,1,0.8582022742425549,1.3905185291083122,0.2269635255110619,0.28397847142186505,0.48905800306707303
48,Colombia,DR Congo,0.9905147198730765,0.7065085070908985,0,0,0.9905062660480084,0.7065079704258417,0.4063776437230431,0.3454541966176895,0.2481681596592673
49,Switzerland,Canada,1.1896406796196757,1.35802630154157,1,1,1.1896046574952899,1.3579260997788498,0.3224795495460536,0.27554272299090776,0.4019777274630386
50,Bosnia and Herzegovina,Qatar,1.3162779652000653,1.308110650969671,1,1,1.3161990864364452,1.3080354577394981,0.3659210553441976,0.27196881437323106,0.36211013028257133
